event_id,event_time,latitude,longitude,depth_km,magnitude,nn_log_eta_b0,parent_id,parent_distance_km,parent_dt_days,parent_lat,parent_lon,parent_depth
42,1935-06-19 06:27:00,12.5,125.5,33.0,6.3,-8.652621897247792,39.0,0.0,25.702083333333334,12.5,125.5,33.0
78,1957-02-11 09:14:00,10.0,126.0,33.0,6.5,-11.011437702158954,77.0,0.0,0.1125,10.0,126.0,33.0
79,1957-02-11 22:25:00,10.0,126.0,33.0,6.5,-10.322776233203907,78.0,0.0,0.5493055555555556,10.0,126.0,33.0
94,1960-06-16 14:37:00,12.5,125.1,33.0,6.5,-7.562825841701218,91.0,0.0,316.05625,12.5,125.1,33.0
1507,2018-02-04 10:15:00,11.69,124.27,2.0,3.3,-8.904772617808131,1314.0,0.0,14.381944444444445,11.69,124.27,2.0
2598,2018-04-26 20:14:00,11.23,124.6,4.0,3.6,-8.482156308342871,2038.0,0.0,38.05694444444445,11.23,124.6,4.0
2783,2018-05-08 13:29:00,10.38,125.04,1.0,3.5,-8.444862007335596,2118.0,0.0,41.46944444444444,10.38,125.04,1.0
3530,2018-06-18 00:21:00,15.67,121.67,16.0,2.6,-12.919922721037603,3529.0,0.0,0.001388888888888889,15.67,121.67,16.0
4282,2018-07-30 20:31:00,9.88,124.01,1.0,2.8,-8.43159061683771,3536.0,0.0,42.75625,9.88,124.01,1.0
4777,2018-08-29 14:11:00,10.39,125.14,1.0,2.6,-8.158735617877445,3420.0,0.0,80.14097222222222,10.39,125.14,1.0
5545,2018-10-08 07:04:00,8.93,126.3,31.0,4.0,-8.249370742591095,4348.0,0.0,65.04583333333333,8.93,126.3,31.0
5570,2018-10-09 06:40:00,10.39,126.67,23.0,3.6,-8.993708935198521,5343.0,0.0,11.71875,10.39,126.67,23.0
5759,2018-10-17 02:37:00,9.91,124.26,33.0,2.1,-8.824788254097767,5382.0,0.0,17.290277777777778,9.91,124.26,33.0
6022,2018-10-28 06:48:00,6.4,125.84,141.0,2.3,-12.141771470653959,6021.0,0.0,0.008333333333333333,6.4,125.84,141.0
6317,2018-11-08 19:10:00,10.81,122.37,9.0,1.6,-9.54161568618079,6227.0,0.0,3.31875,10.81,122.37,9.0
6639,2018-11-23 10:49:00,10.45,126.34,1.0,2.8,-8.341323619272092,5416.0,0.0,52.634027777777774,10.45,126.34,1.0
6691,2018-11-27 03:50:00,10.18,125.25,33.0,2.3,-8.112046209323827,4787.0,0.0,89.23680555555555,10.18,125.25,33.0
7212,2018-12-29 05:31:00,7.68,124.77,1.0,2.0,-7.561840277092895,1639.0,0.0,316.77430555555554,7.68,124.77,1.0
7805,2019-01-24 23:16:00,9.74,126.42,12.0,2.2,-8.742169849194985,7411.0,0.0,20.913194444444443,9.74,126.42,12.0
7999,2019-02-04 01:52:00,9.75,126.47,8.0,2.6,-9.00985888564262,7776.0,0.0,11.290972222222223,9.75,126.47,8.0
8175,2019-02-09 01:13:00,9.81,126.6,7.0,4.4,-7.717563839750048,3831.0,0.0,221.32291666666666,9.81,126.6,7.0
8220,2019-02-09 05:28:00,9.8,126.44,8.0,3.3,-11.229726641009089,8200.0,0.0,0.06805555555555555,9.8,126.44,8.0
8295,2019-02-09 19:48:00,9.67,126.22,23.0,2.0,-10.653926350542523,8269.0,0.0,0.25625,9.67,126.22,23.0
8323,2019-02-10 01:59:00,9.71,126.19,25.0,2.1,-10.561987874037149,8289.0,0.0,0.31666666666666665,9.71,126.19,25.0
8342,2019-02-10 06:13:00,9.82,126.47,10.0,3.6,-9.954956346206504,8155.0,0.0,1.28125,9.82,126.47,10.0
8371,2019-02-10 09:07:00,9.79,126.59,11.0,2.9,-9.872258526436042,8100.0,0.0,1.55,9.79,126.59,11.0
8432,2019-02-11 00:26:00,9.79,126.54,14.0,3.1,-9.787663031506558,8192.0,0.0,1.8833333333333333,9.79,126.54,14.0
8437,2019-02-11 01:53:00,9.89,126.67,1.0,2.3,-9.815606356525876,8240.0,0.0,1.7659722222222223,9.89,126.67,1.0
8464,2019-02-11 14:09:00,9.65,126.24,21.0,1.8,-8.060886552018545,6159.0,0.0,100.39305555555555,9.65,126.24,21.0
8526,2019-02-13 03:17:00,9.76,126.36,1.0,2.6,-9.760957460654193,8442.0,0.0,2.0027777777777778,9.76,126.36,1.0
8637,2019-02-16 15:12:00,11.26,124.61,3.0,3.7,-7.639012155977509,3181.0,0.0,265.2027777777778,11.26,124.61,3.0
8644,2019-02-16 21:27:00,9.59,126.29,25.0,2.0,-8.49256646527868,7537.0,0.0,37.15555555555556,9.59,126.29,25.0
8988,2019-03-05 13:31:00,10.4,125.21,1.0,3.8,-9.251769857469323,8837.0,0.0,6.46875,10.4,125.21,1.0
9065,2019-03-07 22:26:00,10.38,125.19,3.0,3.1,-7.962358530386264,6135.0,0.0,125.95972222222223,10.38,125.19,3.0
9356,2019-03-16 02:24:00,10.37,125.19,1.0,2.0,-8.007979829611296,6622.0,0.0,113.39930555555556,10.37,125.19,1.0
9609,2019-03-25 15:47:00,9.64,123.96,31.0,1.4,-10.956134893692047,9608.0,0.0,0.12777777777777777,9.64,123.96,31.0
9672,2019-03-28 20:27:00,9.7,126.51,12.0,2.6,-8.258763387691051,7787.0,0.0,63.65416666666667,9.7,126.51,12.0
9873,2019-04-05 07:09:00,10.14,125.98,10.0,2.0,-8.336621905524119,8439.0,0.0,53.206944444444446,10.14,125.98,10.0
10141,2019-04-15 01:47:00,15.1,119.76,32.0,2.1,-7.645962428286603,4219.0,0.0,260.9923611111111,15.1,119.76,32.0
10208,2019-04-17 15:25:00,9.65,126.24,32.0,1.5,-8.32358958073647,8743.0,0.0,54.827777777777776,9.65,126.24,32.0
10641,2019-04-26 14:14:00,9.77,126.68,9.0,2.0,-9.749074517394293,10547.0,0.0,2.058333333333333,9.77,126.68,9.0
10719,2019-04-27 00:06:00,9.59,126.22,17.0,1.7,-8.633219308103333,9731.0,0.0,26.87638888888889,9.59,126.22,17.0
10722,2019-04-27 00:51:00,9.71,126.37,21.0,2.2,-10.710407706494973,10689.0,0.0,0.225,9.71,126.37,21.0
10795,2019-04-27 18:57:00,9.75,126.58,10.0,2.7,-8.112272708095478,7866.0,0.0,89.19027777777778,9.75,126.58,10.0
10848,2019-04-28 06:09:00,9.64,126.24,22.0,2.3,-9.97053271439269,10720.0,0.0,1.2361111111111112,9.64,126.24,22.0
10890,2019-04-28 15:21:00,9.74,126.5,12.0,2.3,-8.168162617468152,8218.0,0.0,78.42013888888889,9.74,126.5,12.0
10950,2019-04-29 10:28:00,9.67,126.22,23.0,2.4,-8.16710628984933,8295.0,0.0,78.61111111111111,9.67,126.22,23.0
10964,2019-04-29 21:11:00,9.64,126.24,29.0,1.8,-8.186544871930781,8539.0,0.0,75.17013888888889,9.64,126.24,29.0
11005,2019-04-30 19:26:00,15.01,120.28,33.0,2.3,-9.162298975129215,10411.0,0.0,7.948611111111111,15.01,120.28,33.0
11009,2019-04-30 21:39:00,15.04,120.23,33.0,1.6,-9.168143388561022,10446.0,0.0,7.842361111111111,15.04,120.23,33.0
11055,2019-05-01 22:09:00,9.64,126.25,21.0,1.7,-9.58476582150286,10918.0,0.0,3.004861111111111,9.64,126.25,21.0
11064,2019-05-02 00:58:00,11.27,124.62,10.0,2.5,-7.467505252383706,2243.0,0.0,393.62708333333336,11.27,124.62,10.0
11252,2019-05-06 20:17:00,9.73,126.58,8.0,2.5,-8.125779876974747,8254.0,0.0,86.45902777777778,9.73,126.58,8.0
11452,2019-05-12 20:52:00,15.06,120.3,32.0,1.7,-8.895929916431133,10840.0,0.0,14.677777777777777,15.06,120.3,32.0
11534,2019-05-15 02:37:00,15.04,120.3,28.0,2.4,-8.735984151793101,10509.0,0.0,21.213194444444444,15.04,120.3,28.0
11839,2019-05-25 05:41:00,14.21,120.27,1.0,2.3,-8.862789353788516,11345.0,0.0,15.841666666666667,14.21,120.27,1.0
12009,2019-06-01 13:10:00,12.37,120.86,7.0,2.8,-8.618209249660572,11164.0,0.0,27.821527777777778,12.37,120.86,7.0
