magnitude_bin_lower,magnitude_bin_upper,event_count
1.0,1.1,15
1.1,1.2,34
1.2,1.3,198
1.3,1.4,509
1.4,1.5,1684
1.5,1.6,3225
1.6,1.7,3959
1.7,1.8,4697
1.8,1.9,6037
1.9,2.0,5493
2.0,2.1,8880
2.1,2.2,8084
2.2,2.3,8114
2.3,2.4,7977
2.4,2.5,7918
2.5,2.6,7280
2.6,2.7,6434
2.7,2.8,5377
2.8,2.9,4991
2.9,3.0,4091
3.0,3.1,4061
3.1,3.2,3464
3.2,3.3,3019
3.3,3.4,2507
3.4,3.5,2319
3.5,3.6,2142
3.6,3.7,1515
3.7,3.8,1259
3.8,3.9,1170
3.9,4.0,877
4.0,4.1,829
4.1,4.2,621
4.2,4.3,575
4.3,4.4,497
4.4,4.5,447
4.5,4.6,315
4.6,4.7,269
4.7,4.8,236
4.8,4.9,233
4.9,5.0,189
5.0,5.1,115
5.1,5.2,105
5.2,5.3,85
5.3,5.4,61
5.4,5.5,55
5.5,5.6,38
5.6,5.7,32
5.7,5.8,20
5.8,5.9,15
5.9,6.0,18
6.0,6.1,17
6.1,6.2,14
6.2,6.3,7
6.3,6.4,7
6.4,6.5,11
6.5,6.6,3
6.6,6.7,6
6.7,6.8,2
6.8,6.9,4
6.9,7.0,2
7.0,7.1,2
7.1,7.2,3
7.2,7.3,1
7.4,7.5,2
