magnitude_cutoff,event_count_at_or_above
1.0,122166
1.1,122151
1.2,122117
1.3,121919
1.4,121410
1.5,119726
1.6,116501
1.7,112542
1.8,107845
1.9,101808
2.0,96315
2.1,87435
2.2,79351
2.3,71237
2.4,63260
2.5,55342
2.6,48062
2.7,41628
2.8,36251
2.9,31260
3.0,27169
3.1,23108
3.2,19644
3.3,16625
3.4,14118
3.5,11799
3.6,9657
3.7,8142
3.8,6883
3.9,5713
4.0,4836
4.1,4007
4.2,3386
4.3,2811
4.4,2314
4.5,1867
4.6,1552
4.7,1283
4.8,1047
4.9,814
5.0,625
5.1,510
5.2,405
5.3,320
5.4,259
5.5,204
5.6,166
5.7,134
5.8,114
5.9,99
6.0,81
6.1,64
6.2,50
6.3,43
6.4,36
6.5,25
6.6,22
6.7,16
6.8,14
6.9,10
7.0,8
7.1,6
7.2,3
7.3,2
7.4,2
