year,magnitude_cutoff,event_count_at_or_above
2018,1.0,6246
2018,1.1,6246
2018,1.2,6246
2018,1.3,6244
2018,1.4,6243
2018,1.5,6237
2018,1.6,6224
2018,1.7,6185
2018,1.8,6103
2018,1.9,5968
2018,2.0,5829
2018,2.1,5379
2018,2.2,4911
2018,2.3,4510
2018,2.4,4056
2018,2.5,3573
2018,2.6,3104
2018,2.7,2705
2018,2.8,2314
2018,2.9,1976
2018,3.0,1683
2018,3.1,1430
2018,3.2,1190
2018,3.3,1020
2018,3.4,868
2018,3.5,717
2018,3.6,567
2018,3.7,477
2018,3.8,393
2018,3.9,327
2018,4.0,278
2018,4.1,222
2018,4.2,188
2018,4.3,158
2018,4.4,131
2018,4.5,119
2018,4.6,105
2018,4.7,87
2018,4.8,71
2018,4.9,58
2018,5.0,43
2018,5.1,35
2018,5.2,25
2018,5.3,18
2018,5.4,16
2018,5.5,10
2018,5.6,9
2018,5.7,7
2018,5.8,6
2018,5.9,6
2018,6.0,5
2018,6.1,2
2018,6.2,2
2018,6.3,2
2018,6.4,2
2018,6.5,1
2018,6.6,1
2018,6.7,1
2018,6.8,1
2018,6.9,1
2018,7.0,1
2018,7.1,1
2018,7.2,1
2018,7.3,0
2018,7.4,0
2019,1.0,12970
2019,1.1,12970
2019,1.2,12970
2019,1.3,12969
2019,1.4,12963
2019,1.5,12920
2019,1.6,12812
2019,1.7,12599
2019,1.8,12246
2019,1.9,11761
2019,2.0,11258
2019,2.1,10271
2019,2.2,9340
2019,2.3,8418
2019,2.4,7445
2019,2.5,6550
2019,2.6,5688
2019,2.7,4947
2019,2.8,4276
2019,2.9,3676
2019,3.0,3165
2019,3.1,2654
2019,3.2,2232
2019,3.3,1874
2019,3.4,1568
2019,3.5,1312
2019,3.6,1047
2019,3.7,872
2019,3.8,734
2019,3.9,614
2019,4.0,523
2019,4.1,434
2019,4.2,369
2019,4.3,312
2019,4.4,256
2019,4.5,209
2019,4.6,179
2019,4.7,156
2019,4.8,123
2019,4.9,94
2019,5.0,76
2019,5.1,64
2019,5.2,57
2019,5.3,48
2019,5.4,41
2019,5.5,33
2019,5.6,22
2019,5.7,17
2019,5.8,17
2019,5.9,15
2019,6.0,11
2019,6.1,10
2019,6.2,8
2019,6.3,6
2019,6.4,5
2019,6.5,4
2019,6.6,2
2019,6.7,1
2019,6.8,1
2019,6.9,1
2019,7.0,0
2019,7.1,0
2019,7.2,0
2019,7.3,0
2019,7.4,0
2020,1.0,14033
2020,1.1,14031
2020,1.2,14031
2020,1.3,14023
2020,1.4,14003
2020,1.5,13909
2020,1.6,13728
2020,1.7,13439
2020,1.8,13091
2020,1.9,12528
2020,2.0,11997
2020,2.1,11060
2020,2.2,10098
2020,2.3,9106
2020,2.4,8181
2020,2.5,7179
2020,2.6,6381
2020,2.7,5528
2020,2.8,4830
2020,2.9,4136
2020,3.0,3546
2020,3.1,3037
2020,3.2,2550
2020,3.3,2172
2020,3.4,1755
2020,3.5,1439
2020,3.6,1167
2020,3.7,949
2020,3.8,780
2020,3.9,627
2020,4.0,510
2020,4.1,412
2020,4.2,351
2020,4.3,275
2020,4.4,231
2020,4.5,186
2020,4.6,155
2020,4.7,122
2020,4.8,105
2020,4.9,77
2020,5.0,58
2020,5.1,46
2020,5.2,37
2020,5.3,31
2020,5.4,29
2020,5.5,20
2020,5.6,17
2020,5.7,14
2020,5.8,12
2020,5.9,11
2020,6.0,10
2020,6.1,8
2020,6.2,6
2020,6.3,5
2020,6.4,4
2020,6.5,2
2020,6.6,2
2020,6.7,0
2020,6.8,0
2020,6.9,0
2020,7.0,0
2020,7.1,0
2020,7.2,0
2020,7.3,0
2020,7.4,0
2021,1.0,12042
2021,1.1,12042
2021,1.2,12041
2021,1.3,12041
2021,1.4,12040
2021,1.5,12027
2021,1.6,11909
2021,1.7,11774
2021,1.8,11503
2021,1.9,11019
2021,2.0,10550
2021,2.1,9601
2021,2.2,8745
2021,2.3,7877
2021,2.4,7099
2021,2.5,6266
2021,2.6,5456
2021,2.7,4726
2021,2.8,4112
2021,2.9,3530
2021,3.0,3079
2021,3.1,2650
2021,3.2,2227
2021,3.3,1839
2021,3.4,1565
2021,3.5,1286
2021,3.6,1056
2021,3.7,870
2021,3.8,728
2021,3.9,601
2021,4.0,516
2021,4.1,434
2021,4.2,363
2021,4.3,308
2021,4.4,255
2021,4.5,207
2021,4.6,174
2021,4.7,147
2021,4.8,121
2021,4.9,96
2021,5.0,69
2021,5.1,57
2021,5.2,42
2021,5.3,31
2021,5.4,24
2021,5.5,19
2021,5.6,17
2021,5.7,13
2021,5.8,9
2021,5.9,7
2021,6.0,7
2021,6.1,7
2021,6.2,4
2021,6.3,3
2021,6.4,3
2021,6.5,3
2021,6.6,3
2021,6.7,2
2021,6.8,2
2021,6.9,2
2021,7.0,2
2021,7.1,2
2021,7.2,0
2021,7.3,0
2021,7.4,0
2022,1.0,14325
2022,1.1,14325
2022,1.2,14325
2022,1.3,14321
2022,1.4,14289
2022,1.5,14167
2022,1.6,13830
2022,1.7,13384
2022,1.8,12820
2022,1.9,12118
2022,2.0,11453
2022,2.1,10427
2022,2.2,9454
2022,2.3,8484
2022,2.4,7525
2022,2.5,6599
2022,2.6,5720
2022,2.7,4923
2022,2.8,4296
2022,2.9,3699
2022,3.0,3208
2022,3.1,2735
2022,3.2,2338
2022,3.3,1965
2022,3.4,1701
2022,3.5,1423
2022,3.6,1200
2022,3.7,1011
2022,3.8,860
2022,3.9,685
2022,4.0,590
2022,4.1,510
2022,4.2,424
2022,4.3,355
2022,4.4,306
2022,4.5,243
2022,4.6,203
2022,4.7,167
2022,4.8,142
2022,4.9,120
2022,5.0,93
2022,5.1,77
2022,5.2,60
2022,5.3,41
2022,5.4,31
2022,5.5,25
2022,5.6,21
2022,5.7,15
2022,5.8,11
2022,5.9,11
2022,6.0,10
2022,6.1,8
2022,6.2,5
2022,6.3,4
2022,6.4,4
2022,6.5,2
2022,6.6,2
2022,6.7,2
2022,6.8,1
2022,6.9,1
2022,7.0,1
2022,7.1,0
2022,7.2,0
2022,7.3,0
2022,7.4,0
2023,1.0,16617
2023,1.1,16617
2023,1.2,16617
2023,1.3,16599
2023,1.4,16552
2023,1.5,16310
2023,1.6,15742
2023,1.7,15082
2023,1.8,14379
2023,1.9,13491
2023,2.0,12721
2023,2.1,11616
2023,2.2,10609
2023,2.3,9618
2023,2.4,8612
2023,2.5,7662
2023,2.6,6652
2023,2.7,5817
2023,2.8,5117
2023,2.9,4451
2023,3.0,3929
2023,3.1,3419
2023,3.2,2954
2023,3.3,2493
2023,3.4,2149
2023,3.5,1807
2023,3.6,1493
2023,3.7,1290
2023,3.8,1106
2023,3.9,954
2023,4.0,813
2023,4.1,687
2023,4.2,595
2023,4.3,498
2023,4.4,419
2023,4.5,336
2023,4.6,272
2023,4.7,233
2023,4.8,197
2023,4.9,152
2023,5.0,119
2023,5.1,94
2023,5.2,78
2023,5.3,64
2023,5.4,52
2023,5.5,44
2023,5.6,37
2023,5.7,30
2023,5.8,28
2023,5.9,25
2023,6.0,19
2023,6.1,14
2023,6.2,12
2023,6.3,11
2023,6.4,8
2023,6.5,5
2023,6.6,5
2023,6.7,4
2023,6.8,4
2023,6.9,2
2023,7.0,2
2023,7.1,1
2023,7.2,1
2023,7.3,1
2023,7.4,1
2024,1.0,18135
2024,1.1,18135
2024,1.2,18129
2024,1.3,18094
2024,1.4,17988
2024,1.5,17644
2024,1.6,16978
2024,1.7,16200
2024,1.8,15279
2024,1.9,14216
2024,2.0,13325
2024,2.1,12017
2024,2.2,10912
2024,2.3,9740
2024,2.4,8602
2024,2.5,7485
2024,2.6,6485
2024,2.7,5644
2024,2.8,4968
2024,2.9,4315
2024,3.0,3786
2024,3.1,3192
2024,3.2,2735
2024,3.3,2347
2024,3.4,2016
2024,3.5,1711
2024,3.6,1382
2024,3.7,1178
2024,3.8,998
2024,3.9,820
2024,4.0,699
2024,4.1,562
2024,4.2,465
2024,4.3,381
2024,4.4,289
2024,4.5,241
2024,4.6,199
2024,4.7,158
2024,4.8,118
2024,4.9,92
2024,5.0,69
2024,5.1,54
2024,5.2,41
2024,5.3,35
2024,5.4,23
2024,5.5,17
2024,5.6,17
2024,5.7,15
2024,5.8,10
2024,5.9,8
2024,6.0,7
2024,6.1,6
2024,6.2,5
2024,6.3,4
2024,6.4,4
2024,6.5,4
2024,6.6,3
2024,6.7,3
2024,6.8,2
2024,6.9,1
2024,7.0,1
2024,7.1,1
2024,7.2,0
2024,7.3,0
2024,7.4,0
2025,1.0,21777
2025,1.1,21765
2025,1.2,21740
2025,1.3,21632
2025,1.4,21377
2025,1.5,20732
2025,1.6,19774
2025,1.7,18675
2025,1.8,17557
2025,1.9,16195
2025,2.0,15002
2025,2.1,13323
2025,2.2,11921
2025,2.3,10497
2025,2.4,9128
2025,2.5,7797
2025,2.6,6668
2025,2.7,5714
2025,2.8,4933
2025,2.9,4253
2025,3.0,3698
2025,3.1,3105
2025,3.2,2674
2025,3.3,2278
2025,3.4,1954
2025,3.5,1653
2025,3.6,1373
2025,3.7,1180
2025,3.8,1006
2025,3.9,846
2025,4.0,703
2025,4.1,577
2025,4.2,481
2025,4.3,405
2025,4.4,331
2025,4.5,252
2025,4.6,203
2025,4.7,167
2025,4.8,133
2025,4.9,97
2025,5.0,75
2025,5.1,61
2025,5.2,49
2025,5.3,41
2025,5.4,35
2025,5.5,31
2025,5.6,21
2025,5.7,19
2025,5.8,17
2025,5.9,12
2025,6.0,9
2025,6.1,7
2025,6.2,6
2025,6.3,6
2025,6.4,4
2025,6.5,4
2025,6.6,4
2025,6.7,3
2025,6.8,3
2025,6.9,2
2025,7.0,1
2025,7.1,1
2025,7.2,1
2025,7.3,1
2025,7.4,1
2026,1.0,6021
2026,1.1,6020
2026,1.2,6018
2026,1.3,5996
2026,1.4,5955
2026,1.5,5780
2026,1.6,5504
2026,1.7,5204
2026,1.8,4867
2026,1.9,4512
2026,2.0,4180
2026,2.1,3741
2026,2.2,3361
2026,2.3,2987
2026,2.4,2612
2026,2.5,2231
2026,2.6,1908
2026,2.7,1624
2026,2.8,1405
2026,2.9,1224
2026,3.0,1075
2026,3.1,886
2026,3.2,744
2026,3.3,637
2026,3.4,542
2026,3.5,451
2026,3.6,372
2026,3.7,315
2026,3.8,278
2026,3.9,239
2026,4.0,204
2026,4.1,169
2026,4.2,150
2026,4.3,119
2026,4.4,96
2026,4.5,74
2026,4.6,62
2026,4.7,46
2026,4.8,37
2026,4.9,28
2026,5.0,23
2026,5.1,22
2026,5.2,16
2026,5.3,11
2026,5.4,8
2026,5.5,5
2026,5.6,5
2026,5.7,4
2026,5.8,4
2026,5.9,4
2026,6.0,3
2026,6.1,2
2026,6.2,2
2026,6.3,2
2026,6.4,2
2026,6.5,0
2026,6.6,0
2026,6.7,0
2026,6.8,0
2026,6.9,0
2026,7.0,0
2026,7.1,0
2026,7.2,0
2026,7.3,0
2026,7.4,0
