log10_eta_bin_lower,log10_eta_bin_upper,event_count
-11.200,-11.100,2
-10.900,-10.800,1
-10.800,-10.700,3
-10.500,-10.400,2
-10.400,-10.300,3
-10.300,-10.200,6
-10.200,-10.100,3
-10.100,-10.000,9
-10.000,-9.900,10
-9.900,-9.800,18
-9.800,-9.700,17
-9.700,-9.600,15
-9.600,-9.500,31
-9.500,-9.400,34
-9.400,-9.300,44
-9.300,-9.200,49
-9.200,-9.100,73
-9.100,-9.000,89
-9.000,-8.900,127
-8.900,-8.800,108
-8.800,-8.700,148
-8.700,-8.600,169
-8.600,-8.500,213
-8.500,-8.400,223
-8.400,-8.300,266
-8.300,-8.200,314
-8.200,-8.100,373
-8.100,-8.000,394
-8.000,-7.900,436
-7.900,-7.800,489
-7.800,-7.700,558
-7.700,-7.600,682
-7.600,-7.500,635
-7.500,-7.400,768
-7.400,-7.300,814
-7.300,-7.200,872
-7.200,-7.100,952
-7.100,-7.000,991
-7.000,-6.900,1052
-6.900,-6.800,1093
-6.800,-6.700,1115
-6.700,-6.600,1161
-6.600,-6.500,1267
-6.500,-6.400,1290
-6.400,-6.300,1296
-6.300,-6.200,1355
-6.200,-6.100,1361
-6.100,-6.000,1348
-6.000,-5.900,1452
-5.900,-5.800,1463
-5.800,-5.700,1476
-5.700,-5.600,1522
-5.600,-5.500,1599
-5.500,-5.400,1667
-5.400,-5.300,1832
-5.300,-5.200,1981
-5.200,-5.100,2071
-5.100,-5.000,2278
-5.000,-4.900,2457
-4.900,-4.800,2655
-4.800,-4.700,2869
-4.700,-4.600,3105
-4.600,-4.500,3379
-4.500,-4.400,3556
-4.400,-4.300,3617
-4.300,-4.200,3925
-4.200,-4.100,3891
-4.100,-4.000,3767
-4.000,-3.900,3792
-3.900,-3.800,3551
-3.800,-3.700,3270
-3.700,-3.600,2860
-3.600,-3.500,2485
-3.500,-3.400,2033
-3.400,-3.300,1698
-3.300,-3.200,1226
-3.200,-3.100,923
-3.100,-3.000,646
-3.000,-2.900,426
-2.900,-2.800,245
-2.800,-2.700,127
-2.700,-2.600,84
-2.600,-2.500,47
-2.500,-2.400,23
-2.400,-2.300,19
-2.300,-2.200,7
-2.200,-2.100,2
-2.100,-2.000,4
-2.000,-1.900,2
-1.800,-1.700,2
-1.600,-1.500,1
