feature,importance
log10_eta,0.20030251668719704
is_strong_link,0.19687136859048912
eta,0.048522664696782535
magnitude,0.0419566867655157
parent_distance_km,0.03308858372641362
parent_time_gap_days,0.02963006085939792
local_log10_energy_50km_past_1d,0.025926678670100074
local_log10_energy_50km_past_30d,0.02061124678708582
local_log10_energy_50km_past_7d,0.01854722893583033
local_log10_energy_100km_past_1d,0.018450435913923976
local_max_mag_50km_past_1d,0.01692743211533769
nearest_recent_event_age_days_past_30d,0.016317909428232014
local_max_mag_100km_past_1d,0.015133671039746702
local_log10_energy_100km_past_7d,0.014248777772802337
latitude,0.013471752904954561
local_log10_energy_25km_past_1d,0.011988281294660424
local_max_mag_50km_past_30d,0.011969274287822221
local_log10_energy_100km_past_30d,0.011341822218884842
parent_magnitude,0.01120397387939815
event_dayofyear,0.010598496130966036
events_past_1d,0.010557353897642507
events_past_7d,0.010542973894282338
events_past_30d,0.010432693865244872
local_log10_energy_25km_past_7d,0.010136439869164935
local_log10_energy_25km_past_30d,0.009282637289480058
local_max_mag_50km_past_7d,0.009188303025740079
local_log10_energy_10km_past_30d,0.008689562036383042
local_log10_energy_10km_past_1d,0.008583425252362945
depth_km,0.007991470809406924
local_max_mag_25km_past_1d,0.00765287404903603
local_log10_energy_10km_past_7d,0.007464786477285257
parent_depth_km,0.007189526535141898
local_max_mag_100km_past_7d,0.007039376762141056
longitude,0.006912080244923822
local_events_100km_past_30d,0.006054059103386499
local_events_100km_past_7d,0.0059669198187178715
local_max_mag_10km_past_1d,0.005711317058304681
local_events_100km_past_1d,0.005692816066231419
local_max_mag_25km_past_30d,0.005645040933954353
local_events_50km_past_1d,0.005476134145873707
local_max_mag_100km_past_30d,0.0054475369411313476
local_events_50km_past_30d,0.005134894270245634
local_events_50km_past_7d,0.005115341690618871
event_month,0.005102214630634923
local_events_25km_past_1d,0.005045003463832553
local_events_25km_past_7d,0.0048956799403662545
local_events_25km_past_30d,0.0047654682812981325
local_max_mag_25km_past_7d,0.004524102612067428
local_events_10km_past_1d,0.004486655021945109
local_events_10km_past_7d,0.004277867949086111
nearest_recent_event_magnitude_past_30d,0.004266502382498853
local_events_10km_past_30d,0.004077479080135275
nearest_recent_event_distance_km_past_30d,0.00404519295143008
event_hour,0.003943011887167321
local_max_mag_10km_past_30d,0.0030564566599644437
local_max_mag_10km_past_7d,0.0029846339351905058
event_weekday,0.00281334129456559
event_year,0.002699963167576201
has_parent,0.0
