feature,importance
log10_eta,0.13988974964525794
is_strong_link,0.13310111638491337
local_max_mag_100km_past_1d,0.0481685279923899
local_max_mag_100km_past_7d,0.04709837751921973
local_log10_energy_100km_past_7d,0.044032825865138216
local_max_mag_100km_past_30d,0.04183591485441189
local_log10_energy_100km_past_1d,0.04104858641288313
parent_time_gap_days,0.03774885112008955
events_past_7d,0.02944460544319774
local_log10_energy_100km_past_30d,0.02649791720480358
events_past_1d,0.026025698942646464
event_dayofyear,0.025661534784702292
events_past_30d,0.025215536806788487
eta,0.02326911161250681
parent_magnitude,0.02207558462301408
local_log10_energy_50km_past_30d,0.01692373139434601
parent_distance_km,0.01645017127640017
event_month,0.014945459249838063
local_log10_energy_50km_past_1d,0.012911384284623455
local_log10_energy_50km_past_7d,0.011895888670310103
local_events_25km_past_1d,0.011877423811425073
magnitude,0.011767502841464056
nearest_recent_event_age_days_past_30d,0.010680635146680523
longitude,0.0102196796241771
event_weekday,0.009270995660141466
local_events_100km_past_30d,0.008868072919377567
local_events_100km_past_1d,0.008325884822083598
local_events_100km_past_7d,0.008323190038143972
local_events_25km_past_7d,0.008265226038021468
latitude,0.008101778370606832
local_max_mag_50km_past_1d,0.007723686469266041
local_events_25km_past_30d,0.007423688987396975
local_max_mag_50km_past_30d,0.006993515971469063
local_events_50km_past_1d,0.006765603886893678
local_events_50km_past_30d,0.0066540717144708715
local_log10_energy_25km_past_1d,0.006328943947559564
parent_depth_km,0.0062519756957402205
local_events_50km_past_7d,0.00583214569254499
local_log10_energy_25km_past_7d,0.005808396827715581
local_log10_energy_25km_past_30d,0.00565639659741758
local_max_mag_50km_past_7d,0.0056229763795325426
local_events_10km_past_1d,0.0053323910972997044
local_max_mag_25km_past_1d,0.0044415585977131125
local_max_mag_25km_past_30d,0.0043297231870547265
local_max_mag_25km_past_7d,0.004000254970360227
local_events_10km_past_7d,0.003726248790138368
local_events_10km_past_30d,0.0034464538144530123
event_year,0.0030661103597416873
local_log10_energy_10km_past_1d,0.0027390867283170147
depth_km,0.002640578445012794
local_log10_energy_10km_past_7d,0.002603120271191386
local_log10_energy_10km_past_30d,0.0024974114302760667
event_hour,0.0020590916244970225
nearest_recent_event_distance_km_past_30d,0.0019352078542202874
local_max_mag_10km_past_1d,0.0017311310188977765
nearest_recent_event_magnitude_past_30d,0.001553272280654521
local_max_mag_10km_past_30d,0.0014545168510075681
local_max_mag_10km_past_7d,0.001441477149555091
has_parent,0.0
