feature,importance
log10_eta,0.14775500160002672
is_strong_link,0.12737686599837708
parent_time_gap_days,0.06645016609732
local_log10_energy_100km_past_7d,0.038458446012280524
local_max_mag_100km_past_1d,0.035003710518053656
local_log10_energy_100km_past_1d,0.0332395434309789
local_max_mag_100km_past_7d,0.031197778490357014
local_max_mag_100km_past_30d,0.027376872891634513
local_log10_energy_100km_past_30d,0.02736074340177103
events_past_7d,0.027279196751661818
events_past_30d,0.02638510441756107
parent_magnitude,0.02634457006569398
eta,0.025715605364355455
event_dayofyear,0.022610054103637374
magnitude,0.02128787872364215
events_past_1d,0.02027435201773684
parent_distance_km,0.020197058771505006
local_log10_energy_50km_past_30d,0.018030742383990283
local_log10_energy_50km_past_1d,0.016832496223415754
local_log10_energy_50km_past_7d,0.01282400745067865
local_events_50km_past_1d,0.012284707060531502
event_month,0.01141818170491183
local_max_mag_50km_past_1d,0.010455643120599172
local_events_25km_past_1d,0.010368467757715211
local_events_100km_past_1d,0.010291387204345033
latitude,0.009932703773998582
longitude,0.009678584918939049
local_events_100km_past_7d,0.008520699689957832
local_events_10km_past_1d,0.008439227262793121
local_events_100km_past_30d,0.008346512510690336
local_log10_energy_25km_past_1d,0.00797231953376803
parent_depth_km,0.007786404471561526
local_max_mag_50km_past_30d,0.007580458087038234
local_events_50km_past_7d,0.007576151328160251
local_events_25km_past_7d,0.007019923703183129
local_events_50km_past_30d,0.006940805270847122
local_events_25km_past_30d,0.006937507927017098
local_log10_energy_25km_past_7d,0.006317379435188463
local_log10_energy_25km_past_30d,0.006054773456727294
local_events_10km_past_30d,0.005174130894182017
local_events_10km_past_7d,0.005034641235782753
local_max_mag_50km_past_7d,0.004899714543281304
local_max_mag_25km_past_1d,0.004844923419958988
nearest_recent_event_age_days_past_30d,0.004729698070922719
local_max_mag_25km_past_30d,0.004064498139336323
event_weekday,0.004021347674857862
local_max_mag_25km_past_7d,0.004013877945547606
depth_km,0.00353135108150454
local_log10_energy_10km_past_1d,0.003233706160680622
local_log10_energy_10km_past_30d,0.0028159379468493243
local_log10_energy_10km_past_7d,0.0028150759273320256
event_hour,0.002599544255650754
event_year,0.002507526627367749
nearest_recent_event_magnitude_past_30d,0.0022193279802877053
nearest_recent_event_distance_km_past_30d,0.0021510473116805626
local_max_mag_10km_past_1d,0.0019256339142162777
local_max_mag_10km_past_7d,0.0017718704286183353
local_max_mag_10km_past_30d,0.001724113509291885
has_parent,0.0
