feature,importance
events_past_7d,0.062197283458355214
events_past_30d,0.06103543345326134
local_log10_energy_100km_past_7d,0.06035801315972371
local_log10_energy_100km_past_1d,0.056882687946710905
log10_eta,0.05480209679964173
local_log10_energy_100km_past_30d,0.044181619586491166
event_dayofyear,0.04163675427517494
events_past_1d,0.0403134551826567
parent_time_gap_days,0.039643000474139045
local_max_mag_100km_past_30d,0.02842119262851108
local_max_mag_100km_past_7d,0.027161397986514135
local_max_mag_100km_past_1d,0.024741326776951993
longitude,0.02155801963330062
event_month,0.020504323998649866
is_strong_link,0.02017533896704692
parent_magnitude,0.019606638518002466
eta,0.01893756821893699
local_events_100km_past_30d,0.01816928350468741
local_events_100km_past_7d,0.01785111068629277
local_events_100km_past_1d,0.017835488120475793
local_log10_energy_50km_past_1d,0.017591571493479577
local_log10_energy_50km_past_7d,0.017368373315290026
local_log10_energy_50km_past_30d,0.017263800593427414
latitude,0.012994481326255615
local_events_50km_past_7d,0.012715400984047977
local_events_50km_past_1d,0.012125103080458392
local_events_50km_past_30d,0.011775507121681076
parent_distance_km,0.011198470868375604
nearest_recent_event_age_days_past_30d,0.010838584656725702
local_events_25km_past_30d,0.010241675615466678
local_events_25km_past_7d,0.010191195619134726
magnitude,0.010147026892138977
local_max_mag_50km_past_1d,0.010066018754132832
local_events_25km_past_1d,0.00961900870785588
parent_depth_km,0.009615869666221492
local_max_mag_50km_past_7d,0.00931295919276132
local_events_10km_past_7d,0.009194853180618901
event_weekday,0.008651872173844073
local_events_10km_past_30d,0.007780095669360396
local_events_10km_past_1d,0.0077115298999978765
local_max_mag_50km_past_30d,0.007709783459489671
local_log10_energy_25km_past_7d,0.007368013946110035
local_log10_energy_25km_past_30d,0.007312924551889461
local_log10_energy_25km_past_1d,0.007248591737219904
event_year,0.00508927521959379
depth_km,0.004223400540444005
event_hour,0.004129718377015104
local_log10_energy_10km_past_30d,0.0039542700513063135
local_log10_energy_10km_past_1d,0.0039469267089107555
local_log10_energy_10km_past_7d,0.003791396893322551
nearest_recent_event_magnitude_past_30d,0.0034790554290866247
local_max_mag_25km_past_1d,0.0033190595195575997
local_max_mag_25km_past_7d,0.003139396363364593
nearest_recent_event_distance_km_past_30d,0.0031008209550933675
local_max_mag_25km_past_30d,0.0030565583863430934
local_max_mag_10km_past_1d,0.002343693546765129
local_max_mag_10km_past_7d,0.00219606091819809
local_max_mag_10km_past_30d,0.002175621209490515
has_parent,0.0
