feature,importance
is_strong_link,12.94343426559084
log10_eta,10.318086603279232
magnitude,8.40034184885307
latitude,6.41079419378869
event_year,5.644012225093437
eta,5.547407012267182
local_max_mag_50km_past_30d,5.5110069504639485
local_max_mag_100km_past_30d,4.048668798230363
local_log10_energy_100km_past_30d,3.6053565126384584
event_dayofyear,2.832595323494467
parent_magnitude,2.62540850695605
parent_distance_km,2.031959497912952
local_log10_energy_100km_past_7d,2.004904201655728
longitude,1.8789085708015865
local_events_100km_past_30d,1.8716557652180117
local_events_100km_past_1d,1.5433174697378707
local_events_50km_past_30d,1.5219122646056913
local_log10_energy_50km_past_30d,1.4715088726693282
depth_km,1.4237451503135803
local_events_25km_past_30d,1.4075114773776571
local_max_mag_100km_past_7d,1.1567709827787265
local_log10_energy_50km_past_7d,1.0925118279476398
local_events_50km_past_1d,1.0685622263059862
local_log10_energy_50km_past_1d,0.9728787549308888
local_events_50km_past_7d,0.955152761186473
parent_depth_km,0.9241193335983482
local_events_25km_past_1d,0.8447288737005636
events_past_30d,0.8362042456835564
local_events_25km_past_7d,0.7239329893777297
event_month,0.7043653308687887
local_log10_energy_100km_past_1d,0.690270423069666
local_max_mag_100km_past_1d,0.6865273059617332
local_log10_energy_25km_past_30d,0.6735161483620135
local_max_mag_25km_past_30d,0.6563792521876776
local_max_mag_50km_past_7d,0.5959197692130986
local_events_100km_past_7d,0.47518909459733205
parent_time_gap_days,0.4252704457907391
local_log10_energy_25km_past_1d,0.4055844193586618
local_events_10km_past_30d,0.31446385475925265
events_past_1d,0.2735145194745805
local_log10_energy_25km_past_7d,0.2667027171738203
event_hour,0.2634469029451778
local_max_mag_10km_past_30d,0.2424169749260948
nearest_recent_event_age_days_past_30d,0.24157624806802527
events_past_7d,0.2060073051613144
nearest_recent_event_distance_km_past_30d,0.16776608214450417
nearest_recent_event_magnitude_past_30d,0.16225547529055698
local_log10_energy_10km_past_7d,0.1543068239387072
local_max_mag_50km_past_1d,0.15087210614969584
local_log10_energy_10km_past_30d,0.11736989661345062
local_max_mag_25km_past_7d,0.09753981671798782
local_max_mag_25km_past_1d,0.08954246010457712
local_events_10km_past_7d,0.08663143095061163
local_log10_energy_10km_past_1d,0.06691170830196493
event_weekday,0.05968956770980437
local_max_mag_10km_past_1d,0.05164507658540003
local_events_10km_past_1d,0.03644649467303611
local_max_mag_10km_past_7d,0.020474842443687673
has_parent,0.0
