feature,importance
is_strong_link,17.84636952783441
eta,14.397240915192508
parent_distance_km,7.977040073904419
magnitude,6.244424992046818
log10_eta,4.344123010696451
local_log10_energy_100km_past_1d,4.1351088975278705
events_past_1d,3.9266478666621687
parent_time_gap_days,3.424534553076812
local_log10_energy_100km_past_7d,3.321938236041704
local_max_mag_100km_past_7d,3.2371302093069
local_max_mag_100km_past_1d,2.368145500366229
local_max_mag_100km_past_30d,2.0543069219606487
local_events_50km_past_30d,1.9357177191143293
local_events_25km_past_30d,1.7762719460061753
event_month,1.662886073011615
event_dayofyear,1.6583981200998525
longitude,1.6565338715702596
latitude,1.6532885537770883
local_events_50km_past_7d,1.6329307826138686
parent_magnitude,1.5177635152105091
local_events_100km_past_30d,1.26823592146558
local_events_100km_past_7d,1.2573677371246397
events_past_7d,1.1081395953004485
event_year,1.026526895985539
local_events_100km_past_1d,0.7830448746700106
events_past_30d,0.7783358156674193
local_log10_energy_100km_past_30d,0.7069538017511496
local_events_25km_past_7d,0.6741961713669203
local_log10_energy_50km_past_7d,0.4896426306289957
local_max_mag_50km_past_1d,0.4827400157982671
local_max_mag_50km_past_7d,0.4722319155978693
local_max_mag_25km_past_1d,0.4625657902995579
local_events_10km_past_30d,0.4031629266729501
local_events_25km_past_1d,0.36360120185204897
event_weekday,0.3110921001901129
local_log10_energy_50km_past_1d,0.2875190073473828
local_events_10km_past_1d,0.2837164763270045
parent_depth_km,0.27735472074413026
local_log10_energy_25km_past_7d,0.194345875758258
local_log10_energy_50km_past_30d,0.18430268397652244
local_events_50km_past_1d,0.16605417308605702
local_max_mag_50km_past_30d,0.16579630171782528
local_events_10km_past_7d,0.14719417822195602
local_log10_energy_10km_past_1d,0.12342121079223173
local_max_mag_25km_past_7d,0.12293993935025749
local_log10_energy_25km_past_30d,0.11900749669688948
local_log10_energy_25km_past_1d,0.1092756851198418
local_max_mag_10km_past_1d,0.07530006730356437
nearest_recent_event_age_days_past_30d,0.06768110417788652
local_log10_energy_10km_past_7d,0.062247388416964373
local_max_mag_10km_past_7d,0.05855756252973011
local_max_mag_25km_past_30d,0.057650893272382396
depth_km,0.042488460078672054
nearest_recent_event_magnitude_past_30d,0.03594858257319395
local_max_mag_10km_past_30d,0.029149830921007022
nearest_recent_event_distance_km_past_30d,0.02698580871784833
local_log10_energy_10km_past_30d,0.0044238724783057255
event_hour,0.0
has_parent,0.0
