feature,importance
local_max_mag_100km_past_30d,12.670785802901754
is_strong_link,8.398030166266357
local_log10_energy_100km_past_30d,6.5637567012669376
magnitude,6.354235647863162
log10_eta,5.80564211574985
eta,5.786475485158511
longitude,5.022899197199418
parent_distance_km,5.022066115575687
local_log10_energy_100km_past_1d,4.065763056652703
local_log10_energy_100km_past_7d,3.4561077602528814
local_events_50km_past_30d,3.3296092476477432
local_events_100km_past_1d,3.283814928919821
latitude,2.8441299189065874
local_events_100km_past_30d,1.9049901877183597
parent_magnitude,1.8194363497461834
event_year,1.7347565765898478
event_dayofyear,1.7038824664186034
local_max_mag_100km_past_7d,1.516205738607891
parent_depth_km,1.2769329941812768
local_log10_energy_50km_past_30d,1.255717559692718
local_events_100km_past_7d,1.228995844791764
local_events_25km_past_30d,1.1129644284038764
local_events_50km_past_7d,1.0373931297187053
local_log10_energy_50km_past_1d,0.9999439313045502
local_log10_energy_50km_past_7d,0.958230552299144
events_past_1d,0.7812167864260003
local_events_50km_past_1d,0.7730504316616272
local_events_25km_past_7d,0.7457196491219814
events_past_30d,0.7372207520521901
local_max_mag_100km_past_1d,0.68859422632238
local_max_mag_50km_past_7d,0.6577437854720249
parent_time_gap_days,0.5970767798833677
event_month,0.5870494711138469
local_log10_energy_25km_past_30d,0.5725898298131081
depth_km,0.5233974085778532
local_events_25km_past_1d,0.4277439424960635
local_max_mag_50km_past_30d,0.4190909771037353
local_events_10km_past_7d,0.41090790066603805
local_events_10km_past_30d,0.36315672854545455
local_log10_energy_25km_past_7d,0.3177700950341163
events_past_7d,0.2605725224164496
local_events_10km_past_1d,0.25018541742671413
local_max_mag_25km_past_1d,0.2477118085098007
event_hour,0.24010888227732088
local_max_mag_50km_past_1d,0.19128544006496476
local_log10_energy_25km_past_1d,0.19048601196032247
local_log10_energy_10km_past_1d,0.1436694873745906
nearest_recent_event_distance_km_past_30d,0.11471328738864521
local_max_mag_25km_past_7d,0.11179456065122924
local_max_mag_25km_past_30d,0.10656841455665161
local_log10_energy_10km_past_30d,0.10392888491752617
local_max_mag_10km_past_1d,0.08931912432238999
local_max_mag_10km_past_30d,0.08554619501223348
local_log10_energy_10km_past_7d,0.06061894062720573
event_weekday,0.024410070865380103
nearest_recent_event_magnitude_past_30d,0.012440215454066495
nearest_recent_event_age_days_past_30d,0.010161076045071119
local_max_mag_10km_past_7d,0.0013849920053284701
has_parent,0.0
