feature,importance
local_log10_energy_100km_past_1d,14.22106458363437
parent_distance_km,12.338990547564707
local_max_mag_100km_past_1d,11.35523665428269
parent_time_gap_days,5.192586363012368
local_log10_energy_100km_past_30d,4.882585437431916
events_past_1d,4.8079075094890875
local_max_mag_100km_past_7d,4.61632364670436
eta,4.193606709193774
is_strong_link,3.6955480245833083
local_log10_energy_100km_past_7d,3.6295304157177317
magnitude,3.5619385365122795
parent_magnitude,3.24129574179604
log10_eta,2.911075825569733
local_max_mag_100km_past_30d,2.8217202760896534
event_dayofyear,2.473546985670069
events_past_30d,1.9292565914371533
longitude,1.7028193876755349
event_weekday,1.5016381149842606
events_past_7d,1.4097155884986874
local_events_100km_past_1d,1.0215334807496628
local_max_mag_50km_past_1d,0.9927205079018053
event_month,0.9222916850238607
local_log10_energy_50km_past_1d,0.7757878242540414
local_events_50km_past_1d,0.6631020832772567
latitude,0.6267020882026137
event_year,0.5207898519145957
local_events_100km_past_7d,0.41688950386000423
local_events_100km_past_30d,0.4039519357230264
local_events_25km_past_30d,0.3117348296395106
local_log10_energy_25km_past_1d,0.28089350568786586
local_events_50km_past_30d,0.27550892177423597
local_events_50km_past_7d,0.21909694829774065
depth_km,0.1800106510936148
local_max_mag_50km_past_7d,0.17832108078624584
parent_depth_km,0.15321180779705568
local_max_mag_50km_past_30d,0.14043476152524534
local_log10_energy_10km_past_30d,0.13527391792166726
local_log10_energy_50km_past_7d,0.1332457419371934
local_max_mag_25km_past_1d,0.12723345684144288
nearest_recent_event_magnitude_past_30d,0.1077442266103213
local_log10_energy_50km_past_30d,0.10041015043172054
local_max_mag_10km_past_30d,0.08938460415796028
local_events_25km_past_7d,0.08685189705187217
local_events_25km_past_1d,0.07508691066910708
nearest_recent_event_age_days_past_30d,0.06770459939457732
event_hour,0.05583901067395519
local_log10_energy_25km_past_30d,0.05437877415197196
nearest_recent_event_distance_km_past_30d,0.050014824300224976
local_events_10km_past_30d,0.049248719052402426
local_events_10km_past_7d,0.048375160030702566
local_log10_energy_10km_past_7d,0.04496546977250167
local_max_mag_25km_past_7d,0.04127827464559747
local_events_10km_past_1d,0.03858104583277758
local_max_mag_25km_past_30d,0.035461762853770055
local_max_mag_10km_past_1d,0.02628022351029923
local_max_mag_10km_past_7d,0.02490138608908242
local_log10_energy_25km_past_7d,0.022278112850235413
local_log10_energy_10km_past_1d,0.016093323864548755
has_parent,0.0
