feature,importance
local_events_100km_past_1d,10.285022724167575
local_max_mag_100km_past_1d,10.138794325633873
local_log10_energy_100km_past_1d,9.691485261015973
local_log10_energy_100km_past_7d,7.155447613418335
longitude,6.797524831765222
events_past_1d,6.61055165243805
parent_depth_km,4.233579883384995
magnitude,4.149139726756149
local_max_mag_100km_past_30d,3.662918144312706
parent_distance_km,3.550595877563516
local_log10_energy_100km_past_30d,3.448230930374931
is_strong_link,3.0916058604155903
local_max_mag_100km_past_7d,2.9120549702165754
events_past_30d,2.567874491260665
parent_magnitude,2.423273114650671
local_log10_energy_50km_past_1d,2.139014332546465
event_dayofyear,2.0481492039592366
eta,1.8292381406570235
parent_time_gap_days,1.7636561401638426
event_month,1.7060412274836798
log10_eta,1.6100798589677499
local_max_mag_50km_past_1d,1.0632624987527781
latitude,0.9783627290415331
events_past_7d,0.5747785172656895
event_year,0.5572689125808328
local_events_50km_past_30d,0.5266553527138953
local_max_mag_50km_past_7d,0.5000713462765062
local_events_100km_past_30d,0.48853771215797287
nearest_recent_event_magnitude_past_30d,0.46569136220584956
local_events_100km_past_7d,0.45076094993492594
local_events_50km_past_1d,0.37807239156858635
local_log10_energy_50km_past_7d,0.3426111952065683
event_weekday,0.34084495985166874
local_events_50km_past_7d,0.32614095229873324
local_log10_energy_25km_past_1d,0.19251961911132107
local_events_25km_past_7d,0.14886628979830718
depth_km,0.10976136750017144
local_max_mag_10km_past_1d,0.08011690032903938
local_max_mag_50km_past_30d,0.07193310769947955
local_log10_energy_50km_past_30d,0.06762349483562877
local_log10_energy_25km_past_7d,0.056629877205760966
local_events_25km_past_30d,0.05602193966031032
local_max_mag_25km_past_1d,0.05154981968857949
nearest_recent_event_distance_km_past_30d,0.049319894106875685
local_log10_energy_10km_past_30d,0.039568396816325214
local_events_25km_past_1d,0.03854436793485925
local_max_mag_25km_past_30d,0.03321530634561444
local_max_mag_10km_past_30d,0.031623575870629986
local_max_mag_25km_past_7d,0.026906228738186357
local_events_10km_past_7d,0.02269376137187782
local_events_10km_past_1d,0.021341917698749605
local_log10_energy_10km_past_7d,0.02097406275227151
local_log10_energy_25km_past_30d,0.019348889434647958
local_events_10km_past_30d,0.018301213060110382
local_max_mag_10km_past_7d,0.014908688191024724
local_log10_energy_10km_past_1d,0.012352127822587083
nearest_recent_event_age_days_past_30d,0.004514522885688829
event_hour,0.004027440133570723
has_parent,0.0
