log10_eta_bin_lower,log10_eta_bin_upper,event_count
-11.200,-11.100,2
-10.900,-10.800,1
-10.800,-10.700,3
-10.500,-10.400,2
-10.400,-10.300,4
-10.300,-10.200,7
-10.200,-10.100,4
-10.100,-10.000,9
-10.000,-9.900,13
-9.900,-9.800,18
-9.800,-9.700,22
-9.700,-9.600,18
-9.600,-9.500,33
-9.500,-9.400,39
-9.400,-9.300,53
-9.300,-9.200,58
-9.200,-9.100,84
-9.100,-9.000,104
-9.000,-8.900,150
-8.900,-8.800,127
-8.800,-8.700,178
-8.700,-8.600,205
-8.600,-8.500,265
-8.500,-8.400,278
-8.400,-8.300,316
-8.300,-8.200,384
-8.200,-8.100,460
-8.100,-8.000,470
-8.000,-7.900,536
-7.900,-7.800,601
-7.800,-7.700,686
-7.700,-7.600,836
-7.600,-7.500,785
-7.500,-7.400,953
-7.400,-7.300,1036
-7.300,-7.200,1119
-7.200,-7.100,1209
-7.100,-7.000,1278
-7.000,-6.900,1358
-6.900,-6.800,1429
-6.800,-6.700,1443
-6.700,-6.600,1525
-6.600,-6.500,1613
-6.500,-6.400,1642
-6.400,-6.300,1649
-6.300,-6.200,1706
-6.200,-6.100,1749
-6.100,-6.000,1727
-6.000,-5.900,1864
-5.900,-5.800,1904
-5.800,-5.700,1908
-5.700,-5.600,1971
-5.600,-5.500,2099
-5.500,-5.400,2219
-5.400,-5.300,2404
-5.300,-5.200,2595
-5.200,-5.100,2689
-5.100,-5.000,3000
-5.000,-4.900,3223
-4.900,-4.800,3438
-4.800,-4.700,3681
-4.700,-4.600,4044
-4.600,-4.500,4361
-4.500,-4.400,4586
-4.400,-4.300,4668
-4.300,-4.200,4998
-4.200,-4.100,5035
-4.100,-4.000,4898
-4.000,-3.900,4864
-3.900,-3.800,4501
-3.800,-3.700,4251
-3.700,-3.600,3692
-3.600,-3.500,3237
-3.500,-3.400,2660
-3.400,-3.300,2241
-3.300,-3.200,1634
-3.200,-3.100,1202
-3.100,-3.000,825
-3.000,-2.900,521
-2.900,-2.800,290
-2.800,-2.700,152
-2.700,-2.600,92
-2.600,-2.500,50
-2.500,-2.400,25
-2.400,-2.300,19
-2.300,-2.200,7
-2.200,-2.100,2
-2.100,-2.000,4
-2.000,-1.900,2
-1.800,-1.700,2
-1.600,-1.500,1
