log10_eta_bin_lower,log10_eta_bin_upper,event_count
-11.800,-11.700,1
-11.400,-11.300,2
-11.200,-11.100,5
-11.100,-11.000,1
-11.000,-10.900,4
-10.900,-10.800,3
-10.800,-10.700,10
-10.700,-10.600,2
-10.600,-10.500,3
-10.500,-10.400,9
-10.400,-10.300,17
-10.300,-10.200,18
-10.200,-10.100,20
-10.100,-10.000,41
-10.000,-9.900,42
-9.900,-9.800,58
-9.800,-9.700,71
-9.700,-9.600,72
-9.600,-9.500,96
-9.500,-9.400,123
-9.400,-9.300,149
-9.300,-9.200,160
-9.200,-9.100,207
-9.100,-9.000,262
-9.000,-8.900,300
-8.900,-8.800,298
-8.800,-8.700,348
-8.700,-8.600,415
-8.600,-8.500,510
-8.500,-8.400,530
-8.400,-8.300,618
-8.300,-8.200,647
-8.200,-8.100,791
-8.100,-8.000,839
-8.000,-7.900,922
-7.900,-7.800,985
-7.800,-7.700,1103
-7.700,-7.600,1286
-7.600,-7.500,1238
-7.500,-7.400,1407
-7.400,-7.300,1564
-7.300,-7.200,1664
-7.200,-7.100,1800
-7.100,-7.000,1880
-7.000,-6.900,1967
-6.900,-6.800,2012
-6.800,-6.700,2059
-6.700,-6.600,2126
-6.600,-6.500,2194
-6.500,-6.400,2178
-6.400,-6.300,2111
-6.300,-6.200,2186
-6.200,-6.100,2197
-6.100,-6.000,2215
-6.000,-5.900,2384
-5.900,-5.800,2386
-5.800,-5.700,2505
-5.700,-5.600,2594
-5.600,-5.500,2744
-5.500,-5.400,2979
-5.400,-5.300,3198
-5.300,-5.200,3555
-5.200,-5.100,3696
-5.100,-5.000,4131
-5.000,-4.900,4507
-4.900,-4.800,4953
-4.800,-4.700,5345
-4.700,-4.600,5897
-4.600,-4.500,6335
-4.500,-4.400,6788
-4.400,-4.300,6816
-4.300,-4.200,7208
-4.200,-4.100,7101
-4.100,-4.000,6840
-4.000,-3.900,6430
-3.900,-3.800,5811
-3.800,-3.700,5164
-3.700,-3.600,4306
-3.600,-3.500,3404
-3.500,-3.400,2657
-3.400,-3.300,2078
-3.300,-3.200,1315
-3.200,-3.100,812
-3.100,-3.000,497
-3.000,-2.900,251
-2.900,-2.800,142
-2.800,-2.700,62
-2.700,-2.600,22
-2.600,-2.500,9
-2.500,-2.400,3
-2.400,-2.300,4
