feature,importance
is_strong_link,0.2027868600913848
log10_eta,0.19720800158739546
eta,0.04734595457942245
magnitude,0.042406934614654224
parent_distance_km,0.03194978083873607
parent_time_gap_days,0.028594828033843517
local_log10_energy_50km_past_1d,0.025049836576252985
local_log10_energy_50km_past_30d,0.020986382020027994
local_log10_energy_100km_past_1d,0.019411589831421917
local_max_mag_50km_past_1d,0.018956523313135954
local_log10_energy_50km_past_7d,0.017882206342543366
nearest_recent_event_age_days_past_30d,0.0159717001998355
local_max_mag_100km_past_1d,0.01367197195282817
local_log10_energy_100km_past_7d,0.013594154329747614
latitude,0.01338519082400047
local_log10_energy_100km_past_30d,0.012388351583996952
local_log10_energy_25km_past_1d,0.01201875186987317
event_dayofyear,0.0112289542414388
parent_magnitude,0.01118392614729629
events_past_30d,0.010891017451691578
events_past_1d,0.01087798508274007
events_past_7d,0.010644917143468047
local_max_mag_50km_past_30d,0.010395293264599306
local_log10_energy_25km_past_7d,0.009586726769530736
local_log10_energy_25km_past_30d,0.009552500970378052
local_log10_energy_10km_past_30d,0.008591912564156999
local_max_mag_50km_past_7d,0.008565936645780878
local_max_mag_100km_past_7d,0.008429787589635106
local_log10_energy_10km_past_1d,0.008250303715038633
depth_km,0.008153909479201922
parent_depth_km,0.007839060649779113
local_log10_energy_10km_past_7d,0.007710453965101643
longitude,0.006748654985890141
local_max_mag_25km_past_1d,0.006602908087987872
local_max_mag_100km_past_30d,0.006297111275506167
local_events_100km_past_7d,0.00613254196314054
local_events_100km_past_30d,0.005933296801481171
local_events_100km_past_1d,0.005661665918553164
local_events_50km_past_1d,0.00564578634265631
local_max_mag_10km_past_1d,0.0055162628919697785
local_events_25km_past_1d,0.005172831553177207
local_events_50km_past_30d,0.005116627470199909
event_month,0.005110500261079288
local_events_25km_past_30d,0.005033642590154049
local_events_50km_past_7d,0.005007785383656565
local_max_mag_25km_past_30d,0.0049024081574085545
local_events_25km_past_7d,0.004699142897062681
local_max_mag_25km_past_7d,0.004540519823260253
local_events_10km_past_1d,0.004504439156778357
nearest_recent_event_magnitude_past_30d,0.004232009551829854
local_events_10km_past_7d,0.0041230025475429725
local_events_10km_past_30d,0.004117534118347078
event_hour,0.004014913151571261
nearest_recent_event_distance_km_past_30d,0.003917737424138021
local_max_mag_10km_past_30d,0.003333966513718756
local_max_mag_10km_past_7d,0.0028123076379889898
event_weekday,0.00277857063336676
event_year,0.0025321285925965255
has_parent,0.0
