feature,importance
log10_eta,0.1419410191593636
is_strong_link,0.13295120713260467
parent_time_gap_days,0.06263231876035098
local_log10_energy_100km_past_7d,0.03870874074200377
local_max_mag_100km_past_1d,0.03459801442000035
local_log10_energy_100km_past_1d,0.03264559978857375
local_max_mag_100km_past_7d,0.0306614243780146
local_max_mag_100km_past_30d,0.030187208031591344
parent_magnitude,0.02678803361544026
events_past_30d,0.026731200313784457
events_past_7d,0.02672607586848102
local_log10_energy_100km_past_30d,0.0259227601385157
eta,0.025661758930128106
event_dayofyear,0.022798896039256344
magnitude,0.021530129470642475
events_past_1d,0.02148335097242583
parent_distance_km,0.020007157660645012
local_log10_energy_50km_past_30d,0.017147439741425873
local_log10_energy_50km_past_1d,0.015934933929654505
local_events_50km_past_1d,0.013633798641729868
local_log10_energy_50km_past_7d,0.013619971423213726
event_month,0.013171565790006582
local_events_100km_past_1d,0.010071640525420795
local_max_mag_50km_past_1d,0.009983010403796289
latitude,0.009444239581416769
local_events_25km_past_1d,0.008886328555122114
longitude,0.00873025947253714
local_events_100km_past_30d,0.008699492638146594
local_events_100km_past_7d,0.008458245396615131
local_events_10km_past_1d,0.008407015035811033
local_log10_energy_25km_past_1d,0.008094550975928162
local_max_mag_50km_past_30d,0.007923218756714777
parent_depth_km,0.007595307993919058
local_events_25km_past_30d,0.00746686816750397
local_events_50km_past_7d,0.007329899946183448
local_events_25km_past_7d,0.00729346897170333
local_events_50km_past_30d,0.007034109627745072
local_log10_energy_25km_past_7d,0.0064068619939251755
local_events_10km_past_30d,0.006210544394301381
local_log10_energy_25km_past_30d,0.0059484271614494355
local_events_10km_past_7d,0.005868884609436919
local_max_mag_50km_past_7d,0.005374395375052855
local_max_mag_25km_past_1d,0.005254527636390161
nearest_recent_event_age_days_past_30d,0.0049774009609789985
event_weekday,0.004247174156779529
local_max_mag_25km_past_7d,0.00376789820388926
local_max_mag_25km_past_30d,0.003711358910082769
depth_km,0.0036761035458796405
local_log10_energy_10km_past_1d,0.003135471397965756
local_log10_energy_10km_past_7d,0.0029763770872720248
local_log10_energy_10km_past_30d,0.002877255252187155
event_hour,0.002591015685747336
event_year,0.002446017751756991
nearest_recent_event_distance_km_past_30d,0.0022030237957597395
nearest_recent_event_magnitude_past_30d,0.0020889136433203297
local_max_mag_10km_past_1d,0.0018410481879961732
local_max_mag_10km_past_30d,0.0017532612671843969
local_max_mag_10km_past_7d,0.0017437779862275729
has_parent,0.0
