feature,importance
local_log10_energy_100km_past_1d,0.10474122513030691
local_max_mag_100km_past_1d,0.08544576298782555
local_log10_energy_100km_past_7d,0.06326395468948186
local_log10_energy_50km_past_1d,0.05608449881323096
local_max_mag_100km_past_7d,0.044621433642254196
local_max_mag_50km_past_1d,0.0423210386779955
parent_distance_km,0.03662295510581222
local_log10_energy_100km_past_30d,0.029661386912694362
local_log10_energy_50km_past_7d,0.02786738970419
parent_time_gap_days,0.027802308572430122
events_past_1d,0.02703968792630502
event_dayofyear,0.026492199805727444
log10_eta,0.025429513208395604
events_past_30d,0.023462603944252224
events_past_7d,0.023352533755623902
local_max_mag_100km_past_30d,0.023098600970514332
local_max_mag_50km_past_7d,0.02180185319792439
local_events_100km_past_30d,0.020349525340675464
magnitude,0.017111388434598317
parent_magnitude,0.016952688345317466
local_log10_energy_25km_past_1d,0.01631375446665213
local_events_100km_past_1d,0.01600081986620534
local_events_100km_past_7d,0.015268997708807894
local_log10_energy_50km_past_30d,0.013670907229796313
longitude,0.013491337664469224
event_month,0.012232399938204554
eta,0.011229345211108833
latitude,0.010940338367659437
local_max_mag_25km_past_1d,0.01058880937482739
local_events_50km_past_30d,0.010031953161219626
local_events_50km_past_1d,0.009708629577844794
event_weekday,0.009485308643431964
is_strong_link,0.008326724765798196
local_events_50km_past_7d,0.008269059540585615
local_events_25km_past_30d,0.00699970047224576
local_max_mag_50km_past_30d,0.006877271757654881
parent_depth_km,0.0066724255605577374
local_events_25km_past_7d,0.006633932073717732
event_year,0.006256902628594535
local_log10_energy_25km_past_7d,0.005747296056824631
local_log10_energy_25km_past_30d,0.004717010816581138
nearest_recent_event_age_days_past_30d,0.0045701852532274495
local_events_25km_past_1d,0.004426420075893088
nearest_recent_event_distance_km_past_30d,0.004237389299261998
depth_km,0.004226574498955452
local_events_10km_past_30d,0.003933482370954296
event_hour,0.0036883432383163473
local_events_10km_past_7d,0.0036257365551476783
local_max_mag_25km_past_7d,0.0031811176632309825
local_max_mag_25km_past_30d,0.002947723786902298
local_events_10km_past_1d,0.002481166618397649
nearest_recent_event_magnitude_past_30d,0.002051297656861435
local_log10_energy_10km_past_30d,0.0016330830213059533
local_log10_energy_10km_past_1d,0.0014101861924145206
local_log10_energy_10km_past_7d,0.0013191564790873136
local_max_mag_10km_past_30d,0.0012287603044758837
local_max_mag_10km_past_7d,0.00110733638382814
local_max_mag_10km_past_1d,0.0009465665533959485
has_parent,0.0
