log10_eta_bin_lower,log10_eta_bin_upper,event_count
-12.500,-12.400,1
-12.200,-12.100,1
-12.000,-11.900,1
-11.900,-11.800,1
-11.800,-11.700,2
-11.700,-11.600,3
-11.600,-11.500,2
-11.500,-11.400,4
-11.400,-11.300,9
-11.300,-11.200,4
-11.200,-11.100,8
-11.100,-11.000,11
-11.000,-10.900,12
-10.900,-10.800,16
-10.800,-10.700,26
-10.700,-10.600,26
-10.600,-10.500,33
-10.500,-10.400,54
-10.400,-10.300,63
-10.300,-10.200,65
-10.200,-10.100,96
-10.100,-10.000,134
-10.000,-9.900,143
-9.900,-9.800,202
-9.800,-9.700,249
-9.700,-9.600,298
-9.600,-9.500,358
-9.500,-9.400,425
-9.400,-9.300,490
-9.300,-9.200,608
-9.200,-9.100,653
-9.100,-9.000,765
-9.000,-8.900,783
-8.900,-8.800,956
-8.800,-8.700,1049
-8.700,-8.600,1160
-8.600,-8.500,1312
-8.500,-8.400,1432
-8.400,-8.300,1585
-8.300,-8.200,1714
-8.200,-8.100,1773
-8.100,-8.000,1950
-8.000,-7.900,1958
-7.900,-7.800,2032
-7.800,-7.700,2114
-7.700,-7.600,2191
-7.600,-7.500,2255
-7.500,-7.400,2249
-7.400,-7.300,2348
-7.300,-7.200,2385
-7.200,-7.100,2449
-7.100,-7.000,2506
-7.000,-6.900,2524
-6.900,-6.800,2478
-6.800,-6.700,2434
-6.700,-6.600,2557
-6.600,-6.500,2560
-6.500,-6.400,2617
-6.400,-6.300,2729
-6.300,-6.200,2766
-6.200,-6.100,2805
-6.100,-6.000,2963
-6.000,-5.900,3172
-5.900,-5.800,3412
-5.800,-5.700,3648
-5.700,-5.600,4021
-5.600,-5.500,4285
-5.500,-5.400,4827
-5.400,-5.300,5321
-5.300,-5.200,5919
-5.200,-5.100,6677
-5.100,-5.000,7251
-5.000,-4.900,8085
-4.900,-4.800,8992
-4.800,-4.700,9876
-4.700,-4.600,10532
-4.600,-4.500,11287
-4.500,-4.400,11966
-4.400,-4.300,11983
-4.300,-4.200,11903
-4.200,-4.100,11544
-4.100,-4.000,10895
-4.000,-3.900,9886
-3.900,-3.800,8780
-3.800,-3.700,7520
-3.700,-3.600,6094
-3.600,-3.500,4727
-3.500,-3.400,3507
-3.400,-3.300,2507
-3.300,-3.200,1706
-3.200,-3.100,1126
-3.100,-3.000,620
-3.000,-2.900,352
-2.900,-2.800,169
-2.800,-2.700,76
-2.700,-2.600,49
-2.600,-2.500,19
-2.500,-2.400,9
-2.400,-2.300,9
-1.900,-1.800,1
-1.800,-1.700,1
-1.200,-1.100,1
