feature,importance
is_strong_link,0.67457664
eta,0.029690223
local_events_25km_past_1d,0.025457172
log10_eta,0.023019379
magnitude,0.019618647
local_max_mag_100km_past_30d,0.018648947
local_events_50km_past_1d,0.017785247
local_events_100km_past_1d,0.015814833
local_events_25km_past_7d,0.012311064
local_log10_energy_50km_past_30d,0.012276041
event_year,0.009811257
latitude,0.0077943364
local_events_50km_past_7d,0.0067668497
event_dayofyear,0.0063724252
local_events_50km_past_30d,0.0062314756
local_max_mag_50km_past_30d,0.0059702615
depth_km,0.0053305174
local_log10_energy_100km_past_30d,0.00488451
local_log10_energy_50km_past_7d,0.0045546233
parent_magnitude,0.0044654286
local_log10_energy_100km_past_7d,0.004282027
parent_distance_km,0.004253695
longitude,0.0035547903
local_events_25km_past_30d,0.0033446264
local_events_100km_past_30d,0.0033144967
local_log10_energy_25km_past_30d,0.0032347532
local_log10_energy_100km_past_1d,0.0029218926
event_month,0.0029082077
local_max_mag_100km_past_1d,0.0027893109
local_log10_energy_50km_past_1d,0.0027612045
parent_depth_km,0.002612715
local_max_mag_100km_past_7d,0.0025978233
local_events_100km_past_7d,0.0025929408
local_events_10km_past_1d,0.0025914249
events_past_30d,0.002505726
local_events_10km_past_30d,0.002436535
local_log10_energy_25km_past_1d,0.0023417138
parent_time_gap_days,0.0022398983
nearest_recent_event_distance_km_past_30d,0.0022116238
local_log10_energy_10km_past_7d,0.0021897824
local_max_mag_10km_past_30d,0.0020579877
local_log10_energy_10km_past_30d,0.0020092856
local_log10_energy_25km_past_7d,0.0019412059
local_max_mag_50km_past_7d,0.001926172
local_max_mag_50km_past_1d,0.0019158248
local_max_mag_10km_past_7d,0.0018916236
local_events_10km_past_7d,0.0017679026
local_max_mag_25km_past_1d,0.0016647428
local_max_mag_25km_past_30d,0.001651934
local_max_mag_25km_past_7d,0.0016509875
events_past_1d,0.0016126265
nearest_recent_event_magnitude_past_30d,0.0016003962
events_past_7d,0.0015910016
local_log10_energy_10km_past_1d,0.001580393
nearest_recent_event_age_days_past_30d,0.0015586017
event_hour,0.0015182567
event_weekday,0.0015009616
local_max_mag_10km_past_1d,0.0014950255
has_parent,0.0
