feature,importance
is_strong_link,0.31321156
eta,0.20220323
log10_eta,0.096132904
magnitude,0.02299011
events_past_1d,0.020699311
events_past_30d,0.020208567
local_max_mag_100km_past_1d,0.01823127
local_max_mag_100km_past_7d,0.016823353
local_max_mag_50km_past_1d,0.014941017
latitude,0.014440452
local_max_mag_100km_past_30d,0.013000147
local_events_10km_past_1d,0.01112911
nearest_recent_event_age_days_past_30d,0.01034902
depth_km,0.009802914
local_events_25km_past_30d,0.009676261
local_events_10km_past_30d,0.007608353
events_past_7d,0.0073397527
local_log10_energy_50km_past_1d,0.0072683147
local_log10_energy_25km_past_1d,0.0069934484
event_dayofyear,0.006483839
local_events_25km_past_7d,0.00643317
local_events_25km_past_1d,0.0060540773
parent_time_gap_days,0.005925512
local_log10_energy_50km_past_7d,0.005896194
local_events_10km_past_7d,0.005872338
local_log10_energy_100km_past_1d,0.0058692703
local_max_mag_50km_past_30d,0.00578808
parent_depth_km,0.005726002
parent_magnitude,0.005661662
local_log10_energy_100km_past_30d,0.0053624893
parent_distance_km,0.0051228153
local_log10_energy_50km_past_30d,0.005105123
event_month,0.004938451
local_max_mag_50km_past_7d,0.00485555
local_max_mag_25km_past_1d,0.0045322333
longitude,0.0045268014
local_events_100km_past_1d,0.0044736285
local_events_100km_past_30d,0.00446277
local_log10_energy_25km_past_7d,0.004454197
local_log10_energy_100km_past_7d,0.0043946635
local_events_100km_past_7d,0.004315276
local_log10_energy_10km_past_1d,0.0042573614
local_log10_energy_10km_past_30d,0.004204556
local_max_mag_25km_past_7d,0.004170676
local_events_50km_past_7d,0.004130754
nearest_recent_event_distance_km_past_30d,0.0039902595
local_max_mag_10km_past_7d,0.0037754374
local_log10_energy_25km_past_30d,0.0037439635
local_max_mag_10km_past_30d,0.0036937408
local_log10_energy_10km_past_7d,0.003653614
local_events_50km_past_30d,0.0036425123
local_events_50km_past_1d,0.0035181786
event_weekday,0.003443236
local_max_mag_10km_past_1d,0.0032638481
local_max_mag_25km_past_30d,0.0029544795
nearest_recent_event_magnitude_past_30d,0.0028831502
event_year,0.0027862133
event_hour,0.0025846653
has_parent,0.0
