feature,importance
is_strong_link,0.6633763
eta,0.030708058
local_log10_energy_100km_past_1d,0.029421765
local_max_mag_100km_past_7d,0.0291552
log10_eta,0.026804395
local_log10_energy_100km_past_7d,0.021051267
parent_distance_km,0.017863635
local_events_25km_past_30d,0.01693296
magnitude,0.0132743595
events_past_1d,0.0098609645
local_max_mag_50km_past_1d,0.008620473
local_events_50km_past_30d,0.0069656493
local_events_50km_past_7d,0.0063646897
event_month,0.00624322
local_max_mag_100km_past_1d,0.0061459243
event_year,0.0051813973
parent_time_gap_days,0.0050162594
event_dayofyear,0.00475298
local_log10_energy_100km_past_30d,0.003874792
longitude,0.0038507278
local_events_10km_past_30d,0.0037149913
events_past_7d,0.0036758687
parent_magnitude,0.003650805
local_events_10km_past_7d,0.003502587
local_log10_energy_50km_past_1d,0.0034848307
latitude,0.0031983126
local_events_50km_past_1d,0.0030248757
local_events_25km_past_7d,0.0029578477
local_max_mag_100km_past_30d,0.002953485
local_log10_energy_50km_past_7d,0.0028708351
local_max_mag_50km_past_7d,0.0028667848
events_past_30d,0.0028465274
local_events_100km_past_7d,0.002626671
local_events_100km_past_1d,0.0025714843
local_events_100km_past_30d,0.0025148815
local_events_10km_past_1d,0.0025010644
parent_depth_km,0.0023746176
local_max_mag_10km_past_1d,0.0022362843
local_log10_energy_50km_past_30d,0.0022295676
local_events_25km_past_1d,0.0019720143
event_weekday,0.0019086036
local_max_mag_50km_past_30d,0.0018631096
local_max_mag_10km_past_30d,0.0018012085
local_max_mag_10km_past_7d,0.0016734465
local_max_mag_25km_past_7d,0.0016613404
local_log10_energy_10km_past_7d,0.0016103972
nearest_recent_event_age_days_past_30d,0.0015750669
local_max_mag_25km_past_1d,0.0014953924
event_hour,0.0014790246
local_log10_energy_25km_past_1d,0.0014589124
local_log10_energy_25km_past_30d,0.0013851293
local_log10_energy_25km_past_7d,0.0013668976
local_log10_energy_10km_past_30d,0.0013633324
local_log10_energy_10km_past_1d,0.0013368883
local_max_mag_25km_past_30d,0.0012957655
nearest_recent_event_magnitude_past_30d,0.0012761028
depth_km,0.0011337145
nearest_recent_event_distance_km_past_30d,0.0010763524
has_parent,0.0
