feature,importance
local_log10_energy_100km_past_1d,0.181596
local_max_mag_100km_past_1d,0.12775834
is_strong_link,0.09653766
local_log10_energy_100km_past_7d,0.06577005
parent_distance_km,0.031555265
events_past_1d,0.027514972
local_log10_energy_100km_past_30d,0.027058035
event_weekday,0.026172973
local_max_mag_50km_past_1d,0.025645526
eta,0.021644736
local_max_mag_100km_past_7d,0.019685851
local_events_10km_past_1d,0.018722834
local_events_100km_past_1d,0.018638587
events_past_30d,0.016731394
event_month,0.01614455
event_dayofyear,0.01608429
parent_time_gap_days,0.0146864075
magnitude,0.013201428
events_past_7d,0.012311554
parent_magnitude,0.012037216
local_events_25km_past_7d,0.010534484
local_max_mag_100km_past_30d,0.009544415
local_events_50km_past_1d,0.009307497
longitude,0.00848208
local_log10_energy_25km_past_7d,0.008387532
local_max_mag_25km_past_7d,0.00792477
local_events_50km_past_30d,0.007869258
local_events_50km_past_7d,0.0076403995
local_log10_energy_50km_past_30d,0.007107697
local_log10_energy_10km_past_7d,0.007062945
event_hour,0.0066133165
event_year,0.0065675564
local_events_100km_past_30d,0.006535793
latitude,0.006087333
local_max_mag_10km_past_1d,0.0060818405
local_max_mag_50km_past_7d,0.005952736
log10_eta,0.005879693
local_log10_energy_50km_past_1d,0.0053846375
local_log10_energy_50km_past_7d,0.0053313985
local_log10_energy_25km_past_30d,0.005310206
local_events_25km_past_30d,0.0051174136
parent_depth_km,0.004959947
nearest_recent_event_distance_km_past_30d,0.0049225586
local_max_mag_50km_past_30d,0.004792482
local_events_100km_past_7d,0.004542113
local_events_25km_past_1d,0.004266185
local_max_mag_25km_past_30d,0.004265216
local_log10_energy_25km_past_1d,0.004174033
nearest_recent_event_magnitude_past_30d,0.003873242
local_events_10km_past_30d,0.0035812978
depth_km,0.003400734
local_events_10km_past_7d,0.0033212842
local_max_mag_10km_past_7d,0.0030253301
nearest_recent_event_age_days_past_30d,0.0028972218
local_max_mag_25km_past_1d,0.0027386534
local_log10_energy_10km_past_30d,0.0026817208
local_max_mag_10km_past_30d,0.0023386262
local_log10_energy_10km_past_1d,0.0019987307
has_parent,0.0
