feature,importance
local_log10_energy_100km_past_30d,0.15692875
local_log10_energy_100km_past_7d,0.14746332
is_strong_link,0.06299573
eta,0.055604685
events_past_7d,0.053220794
events_past_30d,0.0498048
parent_distance_km,0.026472753
local_events_100km_past_7d,0.026061699
longitude,0.024413666
local_events_100km_past_30d,0.021962093
log10_eta,0.021760209
parent_magnitude,0.02145917
parent_time_gap_days,0.019133803
local_max_mag_100km_past_1d,0.018190846
event_dayofyear,0.018071687
local_events_10km_past_7d,0.016815245
local_log10_energy_50km_past_30d,0.016111314
event_year,0.014292312
local_events_50km_past_7d,0.013712408
latitude,0.013567169
local_log10_energy_50km_past_7d,0.013526796
local_events_25km_past_1d,0.012197526
local_log10_energy_100km_past_1d,0.011909373
nearest_recent_event_age_days_past_30d,0.01173484
events_past_1d,0.010808829
local_log10_energy_50km_past_1d,0.010642093
magnitude,0.010378351
parent_depth_km,0.009751109
local_events_100km_past_1d,0.009681603
event_month,0.009556884
local_max_mag_100km_past_7d,0.008357599
local_events_25km_past_30d,0.008179902
local_log10_energy_25km_past_1d,0.0057910215
event_weekday,0.0055344356
local_log10_energy_25km_past_7d,0.004812325
local_events_25km_past_7d,0.004470797
local_events_50km_past_30d,0.0040953103
local_max_mag_50km_past_1d,0.0040840628
local_events_50km_past_1d,0.0040483833
local_events_10km_past_1d,0.0035590807
local_log10_energy_25km_past_30d,0.0033624005
local_max_mag_50km_past_30d,0.0028540185
local_max_mag_25km_past_7d,0.0026149543
local_max_mag_50km_past_7d,0.0025706023
local_max_mag_25km_past_30d,0.0024257728
local_log10_energy_10km_past_7d,0.0023936718
local_max_mag_10km_past_30d,0.0022857792
local_log10_energy_10km_past_1d,0.0021304167
local_max_mag_100km_past_30d,0.0021075525
local_log10_energy_10km_past_30d,0.0020159257
nearest_recent_event_distance_km_past_30d,0.0019759932
local_max_mag_25km_past_1d,0.0019384609
local_max_mag_10km_past_7d,0.0019131112
local_events_10km_past_30d,0.0018967557
depth_km,0.0018017018
nearest_recent_event_magnitude_past_30d,0.0017383663
event_hour,0.00153947
local_max_mag_10km_past_1d,0.0012722778
has_parent,0.0
